2.18
4.11
3.65
29.37
10.86
51.61
46.30
16.61
8.33
11.21
32.47
44.37
23.84
21.57






BaseLine

| Metric(AP)/Class | Baseline | Assymetric [8 bit]| Power of 2 | [C] Baseline fp32 | [C] Asym     fp32 |  [C] Pow2 fp32 | [C] Baseline int8 | [C] Asym int8 | [C] Pow2 int8 |
| -----------------| ---------| ----------------- | ---------- |   ----------      |  --------------   |   -----------  |  --------------   |   ----------- |    --------   |
|Aeroplane         |  46.72   |     30.20         |  0.00      |     46.72          |     30.20        |     0.00       |      0.00         |      0.00     |     0.00      |
|Bicycle           |  47.36   |     36.30         |  0.00      |     47.36          |     36.30        |     0.00       |      0.00         |      0.00     |     0.00      |
|Bird              |  27.70   |     8.90          |  0.00      |     27.70          |     8.86         |     0.00       |      0.00         |      0.00     |     0.00      |
|Boat              |  24.74   |     8.48          |  0.34      |     24.74          |     8.48         |     0.34       |      0.00         |      0.34     |     0.00      |
|Bottle            |  11.57   |     4.08          |  0.36      |     11.57          |     4.08         |     0.36       |      0.00         |      0.36     |     0.00      |
|Bus               |  48.56   |     28.92         |  0.00      |     48.56          |     28.92        |     0.00       |      0.00         |      0.00     |     0.00      |
|Car               |  38.21   |     29.71         |  0.03      |     38.21          |     29.71        |     0.03       |      0.00         |      0.03     |     0.03      |
|Cat               |  57.96   |     2.18          |  0.00      |     57.96          |     2.18         |     0.00       |      0.00         |      0.00     |     0.00      |
|Chair             |  10.50   |     4.11          |  0.10      |     10.50          |     4.11         |     0.10       |      0.00         |      0.10     |     0.00      |
|Cow               |  18.29   |     3.65          |  0.00      |     18.29          |     3.65         |     0.00       |      0.00         |      0.00     |     0.00      |
|Diningtable       |  41.61   |     29.37         |  0.00      |     41.61          |     29.37        |     0.00       |      0.00         |      0.00     |     0.00      |
|Dog               |  45.76   |     10.86         |  0.12      |     45.76          |     10.86        |     0.12       |      0.00         |      0.12     |     0.00      |
|Horse             |  64.86   |     51.61         |  0.18      |     64.86          |     51.61        |     0.18       |      0.00         |      0.18     |     0.00      |
|Motorbike         |  55.39   |     46.30         |  0.00      |     55.39          |     46.30        |     0.00       |      0.00         |      0.00     |     0.00      |
|Person            |  28.94   |     16.55         |  0.00      |     28.94          |     16.61        |     0.00       |      0.00         |      0.00     |     0.00      |
|Pottedplant       |  10.17   |     8.33          |  0.00      |     10.17          |     8.33         |     0.00       |      0.00         |      0.00     |     0.00      |
|Sheep             |  26.90   |     11.21         |  0.00      |     26.90          |     11.21        |     0.00       |      0.00         |      0.00     |     0.00      |
|Sofa              |  53.24   |     32.47         |  0.02      |     53.24          |     32.47        |     0.02       |      0.00         |      0.02     |     0.03      |
|Train             |  70.13   |     44.37         |  0.06      |     70.13          |     44.37        |     0.06       |      0.00         |      0.06     |     0.00      |
|Tvmonitor         |  35.25   |     23.84         |  0.02      |     35.25          |     23.84        |     0.02       |      0.00         |      0.02     |     0.00      |
|mAp               |  38.19   |     21.57         |  0.06      |     38.19          |     21.57        |     0.06       |      0.00         |      0.06     |     0.01      |























